Κωδικός,Τιμή,Εμβαδόν,Περιοχή,Κατηγορία,Έτος,Περιγραφή,Ενοίκιο,Link
1,45.000 €,61,Θεσσαλονίκη (Ξηροκρήνη),Διαμέρισμα,1972,"2ος όροφος, χρήζει ανακαίνισης, με ασανσέρ",430,https://...
2,52.000 €,58,Θεσσαλονίκη (Ξηροκρήνη),Διαμέρισμα,1985,"3ος όροφος, ανακαινισμένο",470,https://...
3,78.000 €,72,Θεσσαλονίκη (Κέντρο),Διαμέρισμα,1990,ρετιρέ με θέα,640,https://...
4,95.000 €,85,Θεσσαλονίκη (Κέντρο),Διαμέρισμα,2004,4ος όροφος,720,https://...
5,61.000 €,64,Θεσσαλονίκη (Κέντρο),Διαμέρισμα,1978,χρήζει ανακαίνισης,520,https://...
6,120.000 €,1200,Αρτεμίσιο Ευβοίας,Οικόπεδο,,"εντός σχεδίου, γωνιακό",,https://...
7,95.000 €,900,Αρτεμίσιο Ευβοίας,Οικόπεδο,,εντός σχεδίου,,https://...
8,140.000 €,1500,Αρτεμίσιο Ευβοίας,Αγροτεμάχιο,,εκτός σχεδίου,,https://...
9,88.500 €,95,Πάτρα (Κέντρο),Κατάστημα,1998,"ισόγειο, γωνιακό, μισθωμένο",700,https://...
10,130.000 €,140,Πάτρα (Κέντρο),Κατάστημα,2001,ισόγειο επί κεντρικής,1050,https://...
11,64.000 €,70,Πάτρα (Κέντρο),Γραφείο,1995,1ος όροφος,480,https://...
12,15.000 €,12,Αθήνα (Κυψέλη),Θέση στάθμευσης,2005,"κλειστή, ισόγεια",90,https://...
13,17.500 €,13,Αθήνα (Κυψέλη),Θέση στάθμευσης,2008,κλειστή,100,https://...
14,14.000 €,11,Αθήνα (Κυψέλη),Θέση στάθμευσης,2000,υπόγεια,85,https://...
